1,-0.005147401
3,0.009134025
5,0.015557136
7,0.039750036
9,0.060166437
11,0.08898882
13,0.11835889
15,0.15592162
17,0.19186206
19,0.21969484
21,0.25039592
23,0.26869112
25,0.28638464
27,0.30658558
29,0.3238223
31,0.32833794
33,0.33885133
35,0.3499568
37,0.33982924
39,0.35050204
41,0.35535994
43,0.37004277
45,0.39075375
47,0.39211133
49,0.3699724
51,0.3834718
53,0.39379337
55,0.40439224
57,0.40451553
59,0.38250816
61,0.40985516
63,0.4237442
65,0.4492872
67,0.39246473
69,0.36035493
71,0.3531439
73,0.3703713
75,0.46358746
77,0.39449283
79,0.4339837
81,0.48436245
83,0.5774026
85,0.5125008
87,0.50857157
89,0.3932085
91,0.4084123
93,0.49177152
95,0.4752196
97,0.47867048
