1,0.023256246
3,0.018755293
5,0.03453047
7,0.047960453
9,0.06636507
11,0.10180576
13,0.13326795
15,0.16032256
17,0.20611177
19,0.22735126
21,0.25162277
23,0.27375498
25,0.294048
27,0.3037076
29,0.329395
31,0.3515839
33,0.34312454
35,0.36977354
37,0.4047275
39,0.3983389
41,0.4585133
43,0.43769467
45,0.48214793
47,0.44024923
49,0.5026639
51,0.44079047
53,0.51474404
55,0.54977614
57,0.5984309
59,0.63103116
61,0.42911854
63,0.514641
65,0.53553855
67,0.47011134
69,0.5145973
71,0.58257717
73,0.64870745
75,0.65731114
77,0.68676054
79,0.6436779
81,0.70692605
83,0.8315971
85,0.8272107
87,0.7887953
89,0.8404378
91,0.7867645
93,0.82160074
95,0.83961505
